author,likes,clean_text,clean_query,sentiment_score,ingest_timestamp
Kermode and Mayo's Take,15,we rememb the late val kilmer in the latest take plu review of death of a unicorn restless mr burton with tobi jone listen podfoe2c2471,death20of20val20kilmer0a,-0.7184,2025-04-04T15:07:44.231Z
silver by the woods (they/them),0,in 1977 val kilmer wa 17 he wa raw with grief over the recent death of hi younger brother wesley he flung himself into hi studi at juilliard where hed audit for the drama program with a poem,death20of20val20kilmer0a,-0.7964,2025-04-04T15:07:44.231Z
Cinema Limbo,1,it wa veri kind of friend to think of me thi week follow the death of val kilmer know how much thi film mean to me but i can not urg you strongli enough to watch it it the pinnacl of crowdpleas entertain and perfect for a friday night,death20of20val20kilmer0a,0.8178,2025-04-04T15:07:44.231Z
INBELLA,0,top gun star val kilmer rememb by hi famili for extraordinari life val kilmer famili ha broken it silenc on the death of the late top gun actor kilmer die tuesday of,death20of20val20kilmer0a,-0.8934,2025-04-04T15:07:44.231Z
KEN-OH,0,teenag death girl want my dick not my word actual line of dialogu spoken by val kilmer in the door,death20of20val20kilmer0a,-0.7845,2025-04-04T15:07:44.231Z
Ms Bee 😷,0,ive been too busi and stress with work to even think about the death of val kilmer top secret willow top gun he probabl one of my favorit actor madmartigan wa my favorit though willow is my favorit movi of all time i legitim know everi word,death20of20val20kilmer0a,-0.7579,2025-04-04T15:07:44.231Z
KTLA Entertainment,0,tom cruis ha broken hi silenc on the death of hi top gun and top gun maverick costar val kilmer ktlacomentertainmen,death20of20val20kilmer0a,-0.7783,2025-04-04T15:07:44.231Z
Woodrow Phoenix,1,more of that great ai servic,death20of20val20kilmer0a,0.6557,2025-04-04T15:07:44.231Z
IGN,267,tom cruis honor hi top gun costar val kilmer with a moment of silenc at cinemacon follow the news of the actor death thank you val i wish you well on your next journey,death20of20val20kilmer0a,0.6124,2025-04-04T15:07:44.231Z
Nick Bythrow,1,tom cruis honor val kilmer with a moment of silenc at cinemacon 2025 also speak about the life and work of hi friend follow hi death read more via screenrant here screenrantcomvalkilmert,death20of20val20kilmer0a,0.3612,2025-04-04T15:07:44.231Z
News 📰,1,actor val kilmer wa bedridden for year befor hi death hi famili member have claim after year of struggl with hi health the veteran actor pass away from pneumonia best known for hi role in top gun and batman forev kilmer had battl throat cancer sinc hi 2014 diagn,death20of20val20kilmer0a,-0.6908,2025-04-04T15:07:44.231Z
Media News,0,val kilmer hadnt gotten up from bed in year befor death val kilmer health had serious deterior near the end of hi life leav him unabl to get out of bed for year befor hi death tmz ha learn famili sourc tell tmz val had a lack of energi relat to hi media news,death20of20val20kilmer0a,-0.8402,2025-04-04T15:07:44.231Z
LawrieBhoy 🍀,0,ive just check the stock market it not react too well to the death of val kilmer,death20of20val20kilmer0a,-0.6921,2025-04-04T15:07:44.231Z
Simon Lewsen,1,a remind for everybodi mourn the death of val kilmer the greatest celebr profil of the 21st centuri is a profil of him honour hi legaci by read thi extraordinari piec,death20of20val20kilmer0a,0.296,2025-04-04T15:07:44.231Z
Charlotte 🌻,1,i think death is just a transit to anoth state of conscious val kilmer,death20of20val20kilmer0a,-0.5994,2025-04-04T15:07:44.231Z
